generation,best_fitness,average_fitness,coverage_fraction,average_overlap,time_elapsed
0,0.8263482189458747,0.7020326642060292,1.0,0.0,16.956130504608154
1,0.8366056479632743,0.7898570729071263,0.4315208275090858,0.12063887406353159,62.74273729324341
2,0.8415197747727525,0.8030296433225915,0.3362804025719877,0.14609648342525056,110.75794696807861
3,0.8415197747727525,0.806001352971002,0.28635728263908306,0.21479718911225762,161.28666639328003
4,0.8415197747727525,0.8083813095745512,0.2538440033547666,0.2623470517306134,209.84137678146362
5,0.8516177746766255,0.8123655798819351,0.22444087223930667,0.301997469805689,254.36573100090027
6,0.8516177746766255,0.8210620626571214,0.18885239027117695,0.2161462966257487,298.53580260276794
7,0.8516177746766255,0.8207572394935366,0.1691641039977635,0.2597229634900868,345.7839574813843
8,0.8586580666664182,0.8240225036610542,0.15503214984623986,0.28559321196307497,392.6161262989044
9,0.8586580666664182,0.8280435943869456,0.13834917528655297,0.2932356836466426,437.4299621582031
10,0.8586580666664182,0.8324947690693151,0.13235253005311715,0.36898090493980906,482.88766741752625
11,0.8586580666664182,0.8358200783719879,0.12751607492311992,0.42469706853268496,530.8193793296814
12,0.8586580666664182,0.8357790542273313,0.12099524741403411,0.44104202494613454,575.2046871185303
13,0.8692742439633593,0.8381506131598623,0.11452334358400895,0.4375234734823776,621.1220872402191
14,0.8692742439633593,0.8393322051476353,0.11514537321778026,0.37934135879341363,666.6503262519836
15,0.8692742439633593,0.8404599042348231,0.11118255521386637,0.40631609638458954,713.1589648723602
16,0.8713474570987437,0.8390615829614464,0.10872938216382444,0.41678032773923185,758.6645331382751
17,0.8713474570987437,0.8420656448845648,0.10513698630136986,0.3907074660499318,802.1977517604828
18,0.8713474570987437,0.84200423954507,0.09795918367346938,0.4154460455830319,847.023243188858
19,0.8713474570987437,0.8418485111235928,0.09644254962258876,0.4464236296428077,894.2489585876465
20,0.8713474570987437,0.8455826330246782,0.09290606653620352,0.44668801518116585,938.206613779068
21,0.8713474570987437,0.8429808474955656,0.0915781381045569,0.4682267884322679,982.2781083583832
22,0.8713474570987437,0.8464494271258457,0.09196253844003355,0.4865534009369626,1026.8087124824524
23,0.8713474570987437,0.846475012903866,0.08898518311434163,0.48722054201506254,1070.5012233257294
24,0.8726698881066522,0.84732111508137,0.08906206318143696,0.5140939729980826,1114.2740008831024
25,0.8726698881066522,0.8479016932422894,0.08878948839809897,0.4716390915021052,1158.0425786972046
26,0.8726698881066522,0.8513727120632231,0.08612664243779704,0.5119986558342722,1203.2374908924103
27,0.8726698881066522,0.8515160295575999,0.08406485882024042,0.49918460534898895,1247.8839826583862
28,0.8752448632986386,0.8526929361621393,0.08283477774671512,0.5370362134060763,1291.1222200393677
29,0.8752448632986386,0.8536129322828486,0.08189823874755382,0.49430212101444976,1334.81751537323
30,0.8752448632986386,0.8545659333470995,0.08071009225608052,0.5210816580679594,1378.6556878089905
31,0.8763574006151265,0.8538421355238978,0.07928431646631255,0.5291614777916147,1423.2280077934265
32,0.8763574006151265,0.8539618372667422,0.07848057031031591,0.4752540077882544,1466.8814923763275
33,0.8808514152829621,0.8551750760082848,0.0773762929829466,0.49017078811599357,1510.635588169098
34,0.8808514152829621,0.85684227874892,0.08066116857701985,0.5041560418272747,1556.0129494667053
35,0.8808514152829621,0.8577273922255566,0.07824294101202124,0.5177311273201685,1599.664137840271
36,0.8808514152829621,0.8575893938261501,0.07346938775510205,0.5316521378165214,1643.3295030593872
37,0.8808514152829621,0.859858657685876,0.07680318702823595,0.5374315562671726,1687.3666172027588
38,0.8867895699169447,0.8584371917362266,0.07729941291585127,0.5545350767953507,1731.3115737438202
39,0.8867895699169447,0.8606907827744641,0.07699888174447861,0.47888622032457645,1774.8607485294342
40,0.8867895699169447,0.858380342643897,0.07889292703382723,0.484062740912056,1819.8067910671234
41,0.8867895699169447,0.8574303867523457,0.08117836175566116,0.4909466484808951,1863.8541243076324
42,0.8867895699169447,0.8589105288960519,0.07667738328207996,0.5217932752179327,1907.694274187088
43,0.8867895699169447,0.8606570681072712,0.07790746435560525,0.5378194864496234,1950.9209563732147
44,0.8867895699169447,0.8622348426782648,0.07583869164103997,0.5599784538140703,1994.6249220371246
45,0.8867895699169447,0.8625772350062156,0.07685211070729661,0.5919666330625234,2038.543441772461
46,0.8867895699169447,0.8634958837304997,0.07356723511322337,0.6192403486924035,2082.863338947296
47,0.8867895699169447,0.8651558104896554,0.06598406485882025,0.6275944375259443,2126.7006413936615
48,0.8867895699169447,0.8643576091322204,0.06532010064299693,0.6192675285141038,2170.0921669006348
49,0.8867895699169447,0.8643306135258194,0.0689544310875035,0.6125269327324122,2213.8596484661102
50,0.8867895699169447,0.865926334428455,0.06713027676824154,0.6066906837454782,2257.8520431518555
51,0.8883560065336914,0.8644783812050619,0.06731199329046687,0.6113507877206508,2302.2545971870422
52,0.8883560065336914,0.8640676729808301,0.06767542633491754,0.5574111961098263,2346.1574833393097
53,0.8883560065336914,0.8634617687526313,0.06694157114900755,0.5822140188578545,2389.7027847766876
54,0.8883560065336914,0.8630971262117738,0.06922001677383283,0.5680533317519619,2433.6814608573914
55,0.8913109468553132,0.8649041768558409,0.06715823315627621,0.5629484670580561,2477.6579303741455
56,0.8913109468553132,0.8656956580134207,0.06762650265585686,0.5438262270454052,2521.43052649498
57,0.8913109468553132,0.8667679634651799,0.06975817724350014,0.5586095791575244,2565.059499979019
58,0.8913109468553132,0.8651925768792128,0.06778026279004752,0.5725577694755777,2608.516310453415
59,0.8913109468553132,0.8655859332687202,0.07054794520547945,0.5681299294312993,2652.6354172229767
60,0.8913109468553132,0.8661200831019505,0.06974419904948281,0.5721599557215995,2697.2376351356506
61,0.8941598335081192,0.8651587854638852,0.06507548224769359,0.5802966059815374,2742.7545251846313
62,0.8941598335081192,0.8666694693620959,0.0662007268660889,0.5502258396094013,2787.4652383327484
63,0.8941598335081192,0.8672293429921099,0.0652432205759016,0.5627310284844531,2831.552453994751
64,0.8941598335081192,0.865894453705349,0.06364970645792564,0.5816926604597837,2875.6992559432983
65,0.8941598335081192,0.8652901771063679,0.0660539558289069,0.5760614955820436,2919.544451236725
66,0.8941598335081192,0.8687499271052518,0.06589320659770757,0.5740501887762162,2963.522817850113
67,0.8941598335081192,0.8674931339483192,0.06725608051439753,0.6032635553183499,3008.3347959518433
68,0.8941598335081192,0.8680141644188892,0.06493570030752027,0.601309079048805,3051.0871460437775
69,0.8941598335081192,0.8679510642937293,0.06668297455968689,0.6008223131510803,3095.5129523277283
70,0.8941598335081192,0.8656307157397539,0.06498462398658093,0.6005282768981399,3138.3251659870148
71,0.8941598335081192,0.8665284385429196,0.06343304445065698,0.5995300361738718,3181.312410593033
72,0.8941598335081192,0.8672712833067956,0.06523623147889293,0.6106960011069601,3225.253555059433
73,0.8941598335081192,0.8678466220905133,0.06419485602460162,0.6058752890944672,3268.4038183689117
74,0.8941598335081192,0.8679120399822766,0.06414593234554096,0.6061322619541798,3311.5629498958588
75,0.8941598335081192,0.866866282712305,0.06765445904389153,0.6022554310225543,3354.626791715622
76,0.8941598335081192,0.8681106336206849,0.06703941850712888,0.6022331929866176,3398.464925289154
77,0.8941598335081192,0.8688863824682529,0.06666899636566956,0.5915021052007353,3442.0117366313934
78,0.8941598335081192,0.8674134436388179,0.06750069890970087,0.6210342169246279,3485.4591097831726
79,0.8941598335081192,0.8680021305919522,0.06746575342465753,0.6275252525252525,3529.3955767154694
80,0.8941598335081192,0.8687159263807303,0.07127481129438076,0.6401959912233884,3572.744239091873
81,0.8941598335081192,0.870823837827826,0.06690662566396421,0.6624513234102275,3616.998946905136
82,0.8941598335081192,0.8708991349973928,0.06679480011182555,0.6352542054596849,3661.1483759880066
83,0.8941598335081192,0.8685568415512168,0.0639292703382723,0.6318122516752654,3704.720757484436
84,0.8941598335081192,0.8684807805587039,0.0684931506849315,0.6208340746011979,3748.1375110149384
85,0.8941598335081192,0.8685035845242859,0.06464914733016494,0.6208118365652613,3792.2917487621307
86,0.8941598335081192,0.8669908353550609,0.06669695275370423,0.6147680325762518,3835.194123983383
87,0.8941598335081192,0.8682149983425202,0.06747973161867486,0.6178492359999209,3878.371872663498
88,0.8941598335081192,0.8671359208344498,0.06277606933184232,0.6230356401589279,3922.3061199188232
89,0.8941598335081192,0.8699237715458408,0.06587922840369025,0.6318246061396746,3966.250337123871
90,0.8941598335081192,0.8680941620605401,0.0665152362314789,0.621031746031746,4009.455143928528
91,0.8941598335081192,0.8692964352056475,0.06445345261392228,0.6448190318053332,4053.048705816269
92,0.8941598335081192,0.8692873851127797,0.06274112384679899,0.6398747751487478,4098.122264385223
93,0.8944416572125817,0.8713486204724944,0.06437657254682695,0.6322298325722984,4141.723490953445
94,0.8944416572125817,0.8703100591751296,0.06592815208275091,0.6339421613394216,4185.461311101913
95,0.8944416572125817,0.8682390921080969,0.0612384679899357,0.6127567257704245,4229.8728613853455
96,0.8944416572125817,0.869168914572512,0.06416689963656695,0.635918875644903,4273.587678909302
97,0.8944416572125817,0.8703157160470194,0.06599105395582891,0.6549892269070352,4318.4485585689545
98,0.8944416572125817,0.8692521829556317,0.06406206318143697,0.6515349186582063,4363.715976476669
99,0.8977951477314817,0.8706625039003516,0.0636986301369863,0.6518487220542015,4407.926879644394
100,0.8993804442295094,0.869223949310527,0.06179759575062902,0.5889694399968373,4452.2659657001495
